VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small
80,small,low,80,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,12.534267982434024,10.372158106351073,9.460516198942637
80,small,low,80,Medium Density,8.83125,2.5963947608628164,3.17925,1.3502484735020865,0.35325,0.0,32.30194045764062,17.471356524523486,9.60728782329323
80,small,low,80,High Density,17.6625,18.336768503289285,6.3585,5.705292591960003,0.7065,0.0,171.84524801969826,55.65042902441522,10.15180527272421
80,small,normal,80,Low Density,35.325,37.94617083242497,12.717,13.093467861660741,1.413,1.1851633499169774,274.5123564683381,108.0468878209274,19.934975138542754
80,small,normal,80,Medium Density,70.65,73.7018838310117,25.434,27.20454999258492,2.826,2.791663358536248,321.3072089464382,140.64673272931987,32.475245948544206
80,small,normal,80,High Density,141.3,145.4510816852891,50.868,52.426846523614316,5.652,6.071190216622521,364.77069996523255,164.88433151726383,41.7920482878702
80,medium,low,80,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,23.96942981497954,18.755537164626464,14.33515625851084
80,medium,low,80,Medium Density,8.83125,10.48478150556254,3.17925,4.933640103256272,0.35325,0.0,97.12364682796974,52.215811739674905,16.589328176807328
80,medium,low,80,High Density,17.6625,18.215534206749126,6.3585,5.978541167774676,0.7065,0.0,174.36023027207798,63.16052643559705,15.357021537326025
80,medium,normal,80,Low Density,35.325,37.57204971131626,12.717,13.710603648037536,1.413,1.3506005241498114,274.16081241852316,117.71314464002,25.207209807808
80,medium,normal,80,Medium Density,70.65,76.78725843565901,25.434,31.520288254902734,2.826,3.543861970120478,341.7542304853831,173.49680524645157,41.93386476053408
80,medium,normal,80,High Density,141.3,146.31296477464943,50.868,53.274663611979975,5.652,6.007410881580851,371.56646892830065,171.0344578466209,46.983059218226785
80,large,low,80,Low Density,4.415625,5.239938024961363,1.589625,6.2522277553310275,0.176625,0.0,63.05609525440002,43.632056126009424,30.200771275791748
80,large,low,80,Medium Density,8.83125,18.655838565851955,3.17925,12.496972260547068,0.35325,4.570602875787467,166.2838089993341,112.20807331399027,38.202600090861594
80,large,low,80,High Density,17.6625,23.486918498066366,6.3585,11.236962403143421,0.7065,3.6953674854867415,202.85596826425916,101.05009744726529,42.779947771654214
80,large,normal,80,Low Density,35.325,42.0919730979172,12.717,17.339862833308104,1.413,3.122129739872812,298.3418466800089,141.26428401413094,43.28287828757969
80,large,normal,80,Medium Density,70.65,82.33832615598,25.434,36.81402163106909,2.826,6.387092551847806,383.65938196724585,217.79604631666575,63.98842307434279
80,large,normal,80,High Density,141.3,151.15500054487086,50.868,64.55622669429353,5.652,9.978405906414661,398.10100914889847,202.36193176703364,73.24015652045873
100,small,low,100,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,19.006103173350365,17.1212959861397,16.22174604440995
100,small,low,100,Medium Density,8.83125,0.0,3.17925,0.0,0.35325,0.0,32.82639890617663,22.44435738511877,16.404063752855244
100,small,low,100,High Density,17.6625,17.367572374728432,6.3585,4.982796232250568,0.7065,0.0,143.18101120823812,51.0293472703017,16.67495310526669
100,small,normal,100,Low Density,35.325,37.817256969637356,12.717,13.137250587985843,1.413,1.2290897372884735,268.7823778044381,107.28308626313324,24.751143452242882
100,small,normal,100,Medium Density,70.65,73.46663650605495,25.434,26.440594383713382,2.826,2.826473109134598,320.7713654296041,142.4017713653702,36.4712256160082
100,small,normal,100,High Density,141.3,145.45287703006449,50.868,52.46523360369106,5.652,5.990909788804451,364.7486409489063,167.90885336454417,47.04868208609997
100,medium,low,100,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,33.33362823133402,28.89859931113649,24.166640400251694
100,medium,low,100,Medium Density,8.83125,10.904640646550572,3.17925,4.993233025525482,0.35325,0.0,101.18128928058402,61.17574194954888,26.7003610815201
100,medium,low,100,High Density,17.6625,17.65763497465538,6.3585,5.301126542775468,0.7065,0.0,150.44814451280615,62.555079684295336,24.788618995866454
100,medium,normal,100,Low Density,35.325,37.897226935076716,12.717,13.08830881184558,1.413,1.4075354082404108,270.9617064730484,120.73601003106258,32.30148773284447
100,medium,normal,100,Medium Density,70.65,77.89754768337983,25.434,31.74257918300662,2.826,3.1012991909028758,346.5993714476675,179.2053587497233,50.34394802428819
100,medium,normal,100,High Density,141.3,146.79236936274967,50.868,53.42880475745282,5.652,5.928173239318628,373.7654389733707,176.48489916292442,55.56338241144162
100,large,low,100,Low Density,4.415625,5.965364833029779,1.589625,7.201986089165718,0.176625,0.0,77.01013588337435,59.03794452681071,44.86613334507041
100,large,low,100,Medium Density,8.83125,20.547934306842265,3.17925,14.143683551255666,0.35325,5.374459594062574,175.89032998564673,125.54191414236209,53.65986823982264
100,large,low,100,High Density,17.6625,22.191825311048973,6.3585,11.42406784235553,0.7065,4.220680199044018,191.1838096192228,111.14062245350647,57.49433441029988
100,large,normal,100,Low Density,35.325,41.66941477859617,12.717,17.62576556482218,1.413,3.354829736654211,297.48204781396885,147.72330714175126,55.459651439764414
100,large,normal,100,Medium Density,70.65,84.16952574376552,25.434,37.56783695777816,2.826,6.751666292439471,391.83532305720996,226.36951721394217,76.46425336541765
100,large,normal,100,High Density,141.3,152.21524097008358,50.868,65.349142906432,5.652,10.931045640998384,404.9057784917223,213.88176979007847,86.50929728450592
120,small,low,120,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,30.449261508311416,28.51078024669338,27.486714357235257
120,small,low,120,Medium Density,8.83125,0.0,3.17925,0.0,0.35325,0.0,42.508173308925805,33.33314361252904,27.711404178845775
120,small,low,120,High Density,17.6625,16.42957259279365,6.3585,4.270381777053866,0.7065,0.0,137.32879689853763,57.397256759825225,27.84701269703947
120,small,normal,120,Low Density,35.325,37.38935235631783,12.717,12.479589000580335,1.413,0.0,273.42515735611306,114.52083292735782,35.09421172887872
120,small,normal,120,Medium Density,70.65,73.52102228557499,25.434,26.43842932221554,2.826,2.6412924989093893,328.423803526386,151.32009454676916,46.248003119820126
120,small,normal,120,High Density,141.3,145.96129845512073,50.868,52.51182787662766,5.652,5.827740118293743,372.5634441610272,177.0439253649227,57.51979706438178
120,medium,low,120,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,50.16575530300685,45.77397300011488,40.41509921052629
120,medium,low,120,Medium Density,8.83125,10.819347114986545,3.17925,5.20578179028556,0.35325,0.0,116.92411345324587,78.695954159224,43.31772382106246
120,medium,low,120,High Density,17.6625,17.200853829686306,6.3585,4.806048876935991,0.7065,0.0,150.67000463070207,74.17532948318433,40.87054438857259
120,medium,normal,120,Low Density,35.325,37.77067770120712,12.717,13.260318342072798,1.413,1.4436110116246745,280.135285884862,132.9751199013383,47.369027626180184
120,medium,normal,120,Medium Density,70.65,78.01716591844648,25.434,31.933470325281448,2.826,3.161573437223269,360.6299707154929,194.3564335869649,65.8672205312483
120,medium,normal,120,High Density,141.3,146.56897682730516,50.868,53.13598992787744,5.652,5.9769415187175445,386.1175827155552,190.52348627561815,71.0905518187436
120,large,low,120,Low Density,4.415625,6.3041009316005185,1.589625,7.3801974625497735,0.176625,0.0,101.73292722128811,83.80153397966826,68.28887686461998
120,large,low,120,Medium Density,8.83125,21.408534092780705,3.17925,14.717734342533076,0.35325,5.939152979176381,198.3986458888512,149.53412320293015,77.90392982849535
120,large,low,120,High Density,17.6625,21.559425271631433,6.3585,11.303836605072545,0.7065,3.7094709684754834,202.45536736851426,133.63751474027825,81.30419098766929
120,large,normal,120,Low Density,35.325,42.300089760986175,12.717,17.69065531638315,1.413,3.3509506707907137,311.50429940709085,166.58830360763147,77.78907802852672
120,large,normal,120,Medium Density,70.65,85.55077063032573,25.434,38.848626214099156,2.826,7.133528096200832,411.54900969254277,247.0873646621765,99.06715086063699
120,large,normal,120,High Density,141.3,152.77154560016103,50.868,65.93822324432794,5.652,11.063898296746125,424.03582148029034,236.72464937529168,108.95925094871735
135,small,low,135,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,49.47780157796777,47.252583853751815,45.99167626963406
135,small,low,135,Medium Density,8.83125,0.0,3.17925,0.0,0.35325,0.0,61.87333520592937,52.25670856731494,46.283232565707834
135,small,low,135,High Density,17.6625,16.346934502909235,6.3585,4.294846549583647,0.7065,0.0,152.5498789526272,75.08724927711148,46.35421534247997
135,small,normal,135,Low Density,35.325,37.12633861795227,12.717,12.528733682157846,1.413,0.0,290.2476814057943,132.1123645095617,53.459948187125335
135,small,normal,135,Medium Density,70.65,73.29435078814674,25.434,26.505866181154573,2.826,2.428543555000992,346.31379892055884,169.42163277749717,64.40369909810241
135,small,normal,135,High Density,141.3,146.0852025669636,50.868,52.61061148487636,5.652,5.622405604183361,390.4902491924987,195.12210873424192,75.80444519743847
135,medium,low,135,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,78.20659806117902,73.38884877699039,67.01227902121929
135,medium,low,135,Medium Density,8.83125,10.292803532818624,3.17925,4.79148204031549,0.35325,0.0,147.0835408226966,108.05526797746981,70.45036398414081
135,medium,low,135,High Density,17.6625,16.305419135272896,6.3585,4.424499382245709,0.7065,0.0,173.93108352093972,100.17465042985656,67.45280438215481
135,medium,normal,135,Low Density,35.325,37.63585472963296,12.717,13.364956207290565,1.413,1.251077243419711,304.831214287236,158.80537376887509,73.87105138802099
135,medium,normal,135,Medium Density,70.65,78.37948085752282,25.434,32.057995206720676,2.826,3.197580871802378,387.88200384248785,222.23157421393142,92.68591047279719
135,medium,normal,135,High Density,141.3,146.9230602196428,50.868,53.3407567880644,5.652,6.005170768414613,411.9098143630726,216.82797667079112,97.41721143693093
135,large,low,135,Low Density,4.415625,6.405634414471704,1.589625,3.660128589882688,0.176625,0.0,141.92544459261046,123.33800995015395,105.84623106006723
135,large,low,135,Medium Density,8.83125,22.134105781544356,3.17925,14.78111713633027,0.35325,6.263925199355965,238.06783285566598,189.2558215973689,116.38487509094867
135,large,low,135,High Density,17.6625,21.107180381101035,6.3585,11.658380791875649,0.7065,3.876156415592458,237.73679238190746,173.24080863097709,119.59698409547141
135,large,normal,135,Low Density,35.325,41.46189280890046,12.717,29.7800494218042,1.413,3.4493912415372376,346.2155308251555,203.5571332801959,115.06551230145087
135,large,normal,135,Medium Density,70.65,86.49725433402514,25.434,39.384797292194726,2.826,7.125097348103758,448.09368074452664,284.87418110513715,136.91917374087396
135,large,normal,135,High Density,141.3,152.57560369456044,50.868,66.2358036399435,5.652,10.665602366470967,460.7013144618081,275.6897711447213,146.31299788462854
