VENDOR,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
Canon_Aquilion_One_Vision,Large_rep1,Low Density,35.325,34.421024735261376,12.717,7.088133383525859,1.4130000000000003,3.8092008393978363,-0.24890374010736221
Canon_Aquilion_One_Vision,Large_rep1,Medium Density,70.65,65.52837922107643,25.434,15.833082001819117,2.8260000000000005,4.926473575797612,-0.24890374010736221
Canon_Aquilion_One_Vision,Large_rep1,High Density,141.3,136.9257908931452,50.868,30.569722118445704,5.652000000000001,6.618411109971101,-0.24890374010736221
Canon_Aquilion_One_Vision,Large_rep3,Low Density,35.325,31.620722436559973,12.717,9.19984660889001,1.4130000000000003,4.984246680995407,-0.08300825333369018
Canon_Aquilion_One_Vision,Large_rep3,Medium Density,70.65,70.49980953610616,25.434,14.854636611335943,2.8260000000000005,5.733932260558717,-0.08300825333369018
Canon_Aquilion_One_Vision,Large_rep3,High Density,141.3,143.27342813943835,50.868,34.70738781854792,5.652000000000001,7.939601595170557,-0.08300825333369018
Canon_Aquilion_One_Vision,Small_rep1,Low Density,35.325,29.121685272328182,12.717,5.4004945904335075,1.4130000000000003,-0.20083954933683223,-0.04037167066581182
Canon_Aquilion_One_Vision,Small_rep1,Medium Density,70.65,62.79027895117015,25.434,14.11577140665512,2.8260000000000005,1.83310305404984,-0.04037167066581182
Canon_Aquilion_One_Vision,Small_rep1,High Density,141.3,132.0590317656657,50.868,26.977808946775077,5.652000000000001,2.914943955203366,-0.04037167066581182
Canon_Aquilion_One_Vision,Small_rep3,Low Density,35.325,30.165129460666545,12.717,8.411531716054773,1.4130000000000003,0.7987263254422389,-0.38220944797993894
Canon_Aquilion_One_Vision,Small_rep3,Medium Density,70.65,65.39328983844665,25.434,13.349688688712982,2.8260000000000005,4.342573742812828,-0.38220944797993894
Canon_Aquilion_One_Vision,Small_rep3,High Density,141.3,138.48124039229774,50.868,30.163584755973858,5.652000000000001,2.913137834399338,-0.38220944797993894
